id,Park Code,Name,Street,Suburb,Easting,Northing,Latitude,Longitude
1115,D0264,KILKIVAN AVENUE PARK SOUTH,KILKIVAN AVE,KENMORE,"492,794.66","6,956,549.51",-27.51472958,152.9270415
1116,D1490,KILLARNEY STREET PARK,KILLARNEY ST,FOREST LAKE,"494,860.43","6,946,320.06",-27.60708913,152.9479152
1117,D0835,KILMAINE STREET PARK,KILMAINE ST,THE GAP,"496,488.36","6,964,198.81",-27.44603078,152.9645058
1118,D0865,KINDILAN PARK,COBALT ST,KEPERRA,"494,327.43","6,967,556.07",-27.41496496,152.9428059
1119,D0092,KING EDWARD PARK,TURBOT ST,BRISBANE,"502,372.38","6,961,956.82",-27.46592964,153.0240113
1120,D0099,KING GEORGE SQUARE,ADELAIDE ST,BRISBANE,"502,389.60","6,961,679.08",-27.46843708,153.0241861
1121,D1523,KING STREET PARK,KING ST,KURABY,"510,082.67","6,946,696.15",-27.60366603,153.1021755
1122,D0261,KINGFISHER PARK,GEM RD,KENMORE,"493,397.86","6,955,508.28",-27.5241328,152.9331436
1123,D0361,KINGFISHER PARK,NORMAN ST,EAST BRISBANE,"504,472.74","6,959,185.55",-27.49094335,153.0452795
1124,D0838,KINGS PARK,HERMITAGE ST,KEPERRA,"494,321.80","6,967,445.45",-27.41636835,152.9425557
1125,D0988,KINGTEL PLACE PARK,KINGTEL PL,GEEBUNG,"505,113.43","6,972,783.98",-27.36817395,153.0517082
1126,D1679,KINNEN STREET PARK,PICKERING ST,ENOGGERA,"499,107.02","6,967,222.64",-27.4183915,152.9909659
1127,D1979,KINTA STREET PARK,FRANQUIN CRES,KURABY,"510,169.84","6,947,626.99",-27.59526187,153.1030509
1128,D0006,KITCHENER PARK,BRIDGE ST,WYNNUM,"516,511.76","6,964,191.44",-27.44565734,153.1670873
1129,D0933,KITTO COURT PARK,KITTO CT,EVERTON PARK,"498,094.33","6,970,207.57",-27.39144225,152.9807253
1130,D0826,KLUVER STREET LIONS PARK,KLUVER ST,BALD HILLS,"501,309.48","6,978,485.99",-27.31670423,153.0132357
1131,D0387,KOALA PARK,VENDALE AVE,MOOROOKA,"502,762.50","6,954,793.35",-27.53060037,153.0279761
1132,D0200,KOKODA PARK,TINDAL ST,GORDON PARK,"502,731.08","6,966,845.04",-27.42179806,153.0276306
1133,D0547,KOOKABURRA PARK,BEAUDESERT RD,ROCKLEA,"501,863.64","6,952,478.57",-27.55149952,153.0188768
1134,D1886,KOOKABURRA PARK - WEST,CARINGAL DR,KARANA DOWNS,"484,076.06","6,953,248.17",-27.54294305,152.839205
1135,D1063,KOOLA STREET PARK,BROADWATER RD,WISHART,"510,428.51","6,953,074.41",-27.5460815,153.1056249
1136,D0335,KOORINGAL DRIVE PARK,CENTENARY HWY,JINDALEE,"494,622.82","6,954,900.43",-27.52962583,152.9455454
1137,D0335,KOORINGAL DRIVE PARK,CENTENARY HWY,JINDALEE,"494,686.19","6,954,928.77",-27.52937019,152.9461873
1138,D1847,KOORINGAL STREET PARK,KOORINGAL ST,TINGALPA,"513,843.01","6,961,095.55",-27.4732226,153.1400334
1139,D0130,KOREA PARK,PICKERING ST,ENOGGERA,"499,261.84","6,967,223.80",-27.41838109,152.9925322
1140,D2068,KUNDU PARK,MAIDSTONE ST,KELVIN GROVE,"501,482.06","6,963,382.38",-27.45306092,153.0149984
1141,D1901,KUPI PARK,TANDERRA WAY,KARANA DOWNS,"482,558.11","6,953,688.40",-27.54046638,152.8233492
1142,D1655,KURABY BUSHLANDS,RUBICON CRES,KURABY,"508,484.90","6,946,021.17",-27.60837971,153.0854681
1143,D1713,KURANDA STREET PARK,KURANDA ST,BALMORAL,506925,"6,962,720.85",-27.4590164,153.0700846
1144,D1263,KURILPA POINT PARK,MONTAGUE RD,SOUTH BRISBANE,"501,572.67","6,961,550.06",-27.46986502,153.0162047
